Category,Question,Option 1,Option 2,Option 3,Option 4
Health,What does FHIR stand for in healthcare IT?,Fast Healthcare Interoperability Resources,Federal Health Information Registry,Functional Health Information Repository,Future Healthcare Information Regulations
Health,HL7 is:,A set of international standards for transfer of clinical and administrative data between software applications,A type of medical imaging technology,A classification system for hospital-acquired infections,A medication administration protocol
OR,A service-line block in OR scheduling refers to:,A specific time allocated for a particular medical specialty,A physical barrier in the operating room,A break period for medical staff,A type of anesthesia administration
Health,Shift rostering is:,The process of scheduling staff for different shifts,A technique for sterilizing surgical instruments,A method for categorizing patient acuity,A system for tracking medical supplies
OR,CRNA stands for:,Certified Registered Nurse Anesthetist,Clinical Research Nurse Assistant,Cardiology Registered Nursing Associate,Critical Response Nursing Administrator
OR,"A ""block for group of surgeons"" typically means:",Reserved OR time for a specific group of surgeons,A physical barrier between surgical teams,A team-building exercise for surgeons,A type of surgical instrument set
Tech,Model Accuracy in machine learning refers to:,How well a model's predictions match actual outcomes,The physical precision of a 3D-printed surgical model,The clarity of medical imaging,The reliability of patient self-reporting
Tech,MAE in data science stands for:,Mean Absolute Error,Maximum Accuracy Estimation,Model Accuracy Evaluation,Minimal Acceptable Error
Tech,RMSE in statistics and machine learning stands for:,Root Mean Square Error,Rapid Medical Staff Evaluation,Relative Model Significance Estimate,Runtime Memory Storage Efficiency
OR,Setup and cleanup in OR management refers to:,The time needed to prepare and clean an OR between surgeries,A software installation process,A patient pre-op and post-op routine,A staff training program
Tech,LLM in the context of AI stands for:,Large Language Model,Limited Liability Management,Linear Learning Method,Long-term Logistic Module
Tech,The primary function of Opmed Copilot is:,To allow users to query about historical patterns and reports,To assist in surgical procedures,To manage staff schedules,To monitor patient vital signs
Tech,SOC 2 Type 2 is:,A compliance standard for service organizations,A classification of surgical procedures,A type of medical device,A healthcare data encryption protocol
Tech,MFA stands for:,Multi-Factor Authentication,Medical Facility Authorization,Managed File Access,Multiple Function Analysis
Tech,Mixpanel is:,A product analytics platform,A blood sample analysis device,A multi-specialty surgical planning tool,A medication mixing system
